Senior Citizen,Partner,Dependents,Tenure Months,Multiple Lines,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Paperless Billing,Monthly Charges,Total Charges,label,Gender_Male,Internet Service_Fiber optic,Contract_One year,Contract_Two year,Payment Method_Credit card (automatic),Payment Method_Electronic check,Payment Method_Mailed check
0,1,0,4,0,0,0,1,1,0,0,1,80.6,319.15,1,1,1,0,0,0,0,1
0,1,0,66,1,0,1,1,0,1,1,1,105.2,6936.85,0,0,1,0,0,0,1,0
0,1,1,72,1,1,1,1,1,1,1,1,115.5,8425.15,0,0,1,0,1,0,1,0
0,1,0,9,1,0,1,1,0,0,1,1,69.05,653.95,0,1,0,0,0,1,0,0
0,1,0,19,1,0,0,0,1,1,1,1,100.95,1875.55,1,1,1,1,0,0,1,0
1,1,0,65,0,0,1,1,1,1,1,1,105.85,6725.5,0,0,1,0,1,1,0,0
0,1,0,14,0,0,1,0,1,0,1,1,89.65,1208.35,1,0,1,0,0,1,0,0
0,1,0,59,1,0,1,0,1,1,1,1,80.1,4693.2,0,0,0,1,0,0,1,0
0,0,0,3,1,0,0,0,0,0,0,1,50.65,151.3,1,0,0,0,0,0,0,1
0,0,0,2,0,0,0,0,0,1,0,1,79.65,152.7,1,0,1,0,0,0,0,1
1,1,0,15,0,0,1,0,0,1,1,1,94.65,1285.05,0,0,1,0,0,0,1,0
0,0,0,12,0,1,0,0,1,0,0,0,56.65,654.85,1,1,0,0,0,0,0,1
0,1,0,18,0,0,0,1,0,0,1,0,57.45,990.85,1,1,0,0,0,0,1,0
0,1,0,54,0,1,1,1,1,1,1,0,109.75,6110.2,1,1,1,0,1,0,0,0
0,0,0,60,1,1,0,1,1,0,0,0,64.75,4039.5,0,0,0,1,0,0,1,0
0,1,1,8,0,0,1,0,1,0,0,0,56.3,401.5,0,0,0,0,0,0,0,0
0,1,1,15,0,0,0,0,0,0,0,0,46.3,639.45,0,0,0,0,0,0,1,0
0,0,0,5,1,0,0,0,0,0,0,1,50.6,249.95,1,0,0,0,0,0,0,1
1,0,0,54,1,0,1,0,0,0,0,1,79.5,4370.25,1,0,1,0,0,0,1,0
1,1,0,1,0,0,0,0,0,0,0,0,70.85,70.85,1,1,1,0,0,0,0,1
0,0,0,47,1,0,1,1,0,1,1,1,106.35,4849.1,0,0,1,0,0,0,1,0
0,1,0,38,1,0,1,1,0,1,0,1,94.65,3624.3,1,1,1,0,0,0,1,0
0,0,1,14,0,1,1,1,1,0,1,0,76.1,1054.8,0,1,0,0,1,0,0,0
1,0,0,25,1,0,1,1,0,1,1,0,105.95,2655.25,1,1,1,0,0,0,0,1
0,1,0,50,1,1,0,1,0,1,1,0,105.95,5341.8,1,1,1,0,0,1,0,0
0,0,0,10,1,0,0,0,0,0,0,1,75.75,777.3,0,0,1,0,0,0,0,1
0,0,0,32,0,0,0,0,1,1,1,1,96.2,3183.4,1,1,1,0,0,0,1,0
0,0,0,53,1,1,1,1,0,0,0,0,90.8,4921.2,0,0,1,0,0,0,1,0
0,1,0,27,1,0,0,1,0,0,1,0,90.15,2423.4,0,0,1,0,0,0,0,0
0,0,0,24,0,1,0,0,0,1,1,1,94.6,2283.15,0,0,1,0,0,0,1,0
0,0,1,2,1,1,0,0,0,0,0,0,80.55,188.1,0,0,1,0,0,1,0,0
0,1,0,18,1,0,0,0,0,1,1,1,94.75,1691.9,0,1,1,0,0,0,1,0
0,0,0,33,0,1,0,0,1,1,0,1,88.95,3027.65,0,1,1,0,1,0,1,0
0,1,0,6,1,0,0,0,0,0,0,0,50.35,314.55,0,0,0,0,0,0,1,0
0,0,0,1,0,1,0,0,0,0,0,1,49.8,49.8,0,1,0,0,0,1,0,0
0,1,0,9,0,0,0,1,0,0,0,1,75.75,655.9,1,0,1,0,0,0,0,0
0,0,0,39,0,1,0,1,0,1,1,1,100.45,3801.7,0,1,1,0,1,0,1,0
0,1,1,47,1,1,1,1,1,1,1,1,113.45,5317.8,0,1,1,1,0,0,0,0
0,0,0,46,0,1,1,1,0,1,0,1,95.65,4664.2,0,0,1,1,0,1,0,0
0,0,0,1,0,0,0,0,1,0,0,1,49.3,49.3,0,1,0,0,0,0,1,0
0,0,0,1,0,0,0,0,0,0,0,1,45.65,45.65,1,1,0,0,0,0,1,0
1,1,0,3,0,0,0,0,0,1,0,1,80.4,224.05,1,0,1,0,0,0,1,0
0,0,0,3,1,0,0,0,0,0,0,0,74.5,217.45,0,1,1,0,0,0,1,0
0,1,0,38,0,1,1,0,0,0,0,1,79.45,3013.05,1,1,1,0,0,0,1,0
0,1,0,72,1,1,1,1,1,1,1,1,113.65,8182.75,0,0,1,0,1,0,0,0
1,0,0,67,0,1,1,0,1,1,1,1,105.05,7171.7,0,1,1,0,1,0,1,0
0,1,1,3,0,0,1,0,1,0,0,1,80.0,241.3,0,0,1,0,0,0,1,0
1,0,0,11,1,1,1,0,0,0,0,0,60.25,662.95,0,1,0,0,0,0,0,0
0,1,1,20,1,0,1,0,1,1,0,0,96.8,1826.7,0,1,1,0,0,0,0,1
0,1,1,72,1,1,0,1,0,1,1,1,105.55,7542.25,0,1,1,0,1,0,0,0
0,1,0,69,1,0,1,1,0,0,0,1,85.4,5869.4,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0,1,0,1,55.0,55.0,1,0,0,0,0,1,0,0
0,1,1,72,1,1,1,1,1,1,1,1,87.55,6463.15,0,1,0,0,1,0,0,0
0,0,1,9,0,0,0,1,1,1,1,1,72.9,651.4,1,0,0,0,0,0,0,1
0,1,0,33,1,0,1,1,0,1,1,1,104.4,3409.6,1,0,1,0,0,0,1,0
0,0,0,3,0,0,0,1,0,0,1,0,85.7,256.75,0,1,1,0,0,1,0,0
0,0,0,15,1,0,0,0,0,0,0,1,49.1,679.55,1,0,0,0,0,0,1,0
0,0,0,26,1,0,0,0,0,0,1,1,83.95,2254.2,1,1,1,0,0,0,1,0
0,0,0,1,0,0,0,0,0,1,1,0,90.6,90.6,1,0,1,0,0,0,1,0
0,0,0,56,1,0,1,0,1,0,1,1,94.45,5124.6,1,1,1,0,0,0,1,0
0,1,1,7,0,0,0,0,0,0,0,0,44.75,333.65,0,1,0,0,0,0,1,0
0,0,0,69,1,1,0,1,1,1,1,1,85.35,5897.4,0,0,0,0,1,1,0,0
0,0,0,1,0,0,0,0,0,0,0,0,44.75,44.75,0,0,0,0,0,0,0,1
0,1,1,52,0,1,0,1,1,0,0,1,84.05,4326.8,0,0,1,0,0,0,0,0
0,0,0,71,1,1,1,1,1,1,1,0,111.3,7985.9,0,0,1,0,1,0,0,1
1,0,0,9,0,0,0,0,0,0,1,1,79.55,718.55,0,1,1,0,0,0,1,0
0,1,1,12,0,0,0,0,0,1,0,1,56.3,628.65,0,1,0,0,0,0,0,1
0,0,0,1,0,0,0,0,0,0,0,1,71.35,71.35,1,1,1,0,0,0,0,1
1,1,0,68,0,0,1,1,1,0,0,1,60.65,3975.9,0,0,0,1,0,0,0,0
0,1,0,3,0,0,0,0,0,0,1,1,80.3,250.05,1,0,1,0,0,0,1,0
0,0,0,32,1,0,1,0,0,0,0,1,80.35,2596.15,1,1,1,0,0,0,0,0
1,1,0,21,0,0,0,1,0,1,0,0,86.55,1857.25,0,1,1,0,0,0,0,0
0,1,0,71,0,1,1,1,1,0,0,0,64.05,4492.9,0,0,0,0,1,1,0,0
0,0,0,5,0,0,0,1,1,1,0,1,63.95,318.1,0,1,0,0,0,1,0,0
1,1,0,7,1,0,0,0,0,1,1,1,95.6,644.35,1,1,1,0,0,0,0,0
0,1,0,72,1,1,1,1,1,1,1,1,91.15,6637.9,0,0,0,0,1,0,0,0
0,1,1,30,0,1,0,0,1,0,1,0,66.3,1923.5,0,0,0,0,0,0,0,0
0,0,0,22,0,1,0,0,0,0,0,1,48.8,1054.6,1,0,0,0,0,1,0,0
0,0,0,32,1,1,1,0,1,1,1,1,108.15,3432.9,1,1,1,0,0,1,0,0
0,1,0,56,1,0,0,0,0,1,0,1,85.6,4902.8,0,0,1,0,0,0,0,0
0,0,0,7,0,0,0,0,0,1,0,0,54.85,370.4,0,1,0,0,0,0,0,1
0,1,0,2,0,0,0,1,1,0,1,0,90.0,190.05,1,1,1,0,0,1,0,0
0,1,0,72,1,0,1,1,1,1,1,0,109.15,7789.6,0,0,1,1,0,1,0,0
0,0,0,1,0,0,0,0,0,0,0,1,69.6,69.6,1,1,1,0,0,0,1,0
0,0,0,33,0,0,0,0,0,0,0,0,68.25,2171.15,1,1,1,0,0,0,1,0
0,0,0,12,0,0,0,0,1,1,0,1,59.8,727.8,1,1,0,1,0,0,1,0
0,0,0,5,0,1,0,1,0,0,0,0,55.8,300.4,0,0,0,0,0,1,0,0
1,1,0,1,0,0,0,0,0,0,0,1,69.25,69.25,1,0,1,0,0,0,1,0
0,0,0,13,0,1,0,0,1,0,0,0,55.15,742.9,0,0,0,1,0,0,0,1
1,1,0,69,1,0,1,1,1,1,1,1,108.4,7318.2,1,1,1,0,1,0,0,0
1,1,1,22,1,0,0,0,0,1,0,0,85.35,1961.6,0,0,1,0,0,0,0,0
0,0,1,54,1,0,1,0,0,0,0,1,55.0,3092.65,1,1,0,0,0,1,0,0
0,1,0,23,0,0,0,0,1,1,0,0,60.0,1347.15,0,0,0,1,0,0,0,0
0,0,0,1,0,1,0,0,0,0,0,1,48.6,48.6,1,0,0,0,0,1,0,0
1,1,0,1,1,0,0,0,0,0,0,1,74.45,74.45,1,0,1,0,0,0,1,0
0,1,0,28,0,1,0,0,0,1,1,1,92.35,2602.9,1,0,1,0,0,0,0,1
0,1,1,71,1,0,1,0,1,0,0,1,84.8,6152.4,0,1,1,0,1,0,1,0
0,1,0,67,1,1,0,0,1,0,1,1,94.35,6341.45,1,0,1,1,0,1,0,0
0,0,0,8,0,1,0,0,0,0,0,1,49.85,365.55,1,0,0,0,0,0,1,0
1,0,0,2,1,0,1,0,0,0,0,1,56.55,118.25,0,0,0,0,0,1,0,0
0,0,0,1,0,0,0,0,0,1,1,0,90.55,90.55,1,0,1,0,0,0,1,0
0,0,0,29,1,0,0,1,0,1,1,1,98.6,2933.2,1,0,1,0,0,1,0,0
0,1,1,67,1,0,1,0,0,0,1,1,89.55,6373.1,0,1,1,0,0,0,0,0
0,1,0,72,1,1,1,1,1,1,1,1,115.55,8425.3,0,1,1,0,1,0,1,0
0,0,0,20,1,1,0,0,1,0,0,0,59.2,1191.2,0,1,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,1,1,85.45,85.45,1,0,1,0,0,0,0,1
0,0,0,35,1,0,0,1,0,1,1,1,100.25,3527.6,1,0,1,0,0,0,1,0
0,0,1,53,0,1,1,1,0,0,1,0,95.95,5036.9,0,1,1,1,0,0,1,0
0,0,0,1,0,0,0,0,0,0,0,1,44.15,44.15,1,1,0,0,0,0,0,1
0,1,0,53,0,1,1,1,1,1,1,0,110.5,5835.5,0,0,1,1,0,0,1,0
0,1,0,3,1,0,0,0,0,0,0,1,74.1,228.0,1,0,1,0,0,1,0,0
0,1,0,68,1,0,0,1,0,1,0,1,89.95,5974.3,0,0,1,0,1,0,0,0
1,1,0,7,0,0,0,0,0,1,1,1,89.5,676.7,1,1,1,0,0,0,1,0
0,0,0,67,1,1,0,1,1,1,1,1,85.25,5714.2,0,0,0,0,1,0,0,1
0,0,0,3,0,0,0,0,0,1,0,1,78.5,242.05,1,1,1,0,0,0,1,0
0,1,0,17,1,0,1,0,0,1,1,1,75.4,1322.55,0,0,0,0,0,0,0,0
0,1,0,37,0,0,0,1,1,0,1,1,90.35,3419.3,0,1,1,0,0,0,1,0
1,0,0,4,0,1,0,0,0,0,0,0,75.35,273.4,0,1,1,0,0,0,1,0
0,1,0,9,1,0,0,1,0,0,0,1,79.35,661.25,1,1,1,0,0,0,0,0
0,0,0,37,0,0,0,0,0,0,0,1,70.35,2552.9,0,1,1,0,0,0,0,1
0,0,0,14,0,0,1,0,0,0,0,0,51.45,727.85,0,0,0,1,0,1,0,0
1,0,0,12,1,0,1,0,0,1,0,1,91.3,1094.5,1,0,1,0,0,0,1,0
0,1,0,23,0,1,1,1,1,0,0,1,66.25,1533.8,0,0,0,1,0,0,0,1
0,0,0,2,0,0,0,0,0,0,1,1,80.95,171.15,1,1,1,0,0,0,1,0
0,1,0,15,0,0,0,0,0,0,0,1,68.6,1108.6,0,1,1,0,0,0,0,0
0,1,0,49,1,1,0,0,0,0,0,1,55.35,2633.95,0,1,0,1,0,0,1,0
0,1,0,1,0,0,0,0,0,1,1,0,89.15,89.15,1,1,1,0,0,0,0,1
0,1,0,71,1,0,1,1,0,0,1,1,93.25,6669.45,0,1,1,0,0,0,0,0
0,0,0,4,1,0,0,0,0,0,0,0,75.35,338.1,1,0,1,0,0,0,1,0
0,0,0,1,0,0,1,0,0,0,0,0,74.35,74.35,0,0,1,0,0,0,1,0
0,0,0,19,0,0,1,1,0,0,0,1,78.25,1490.95,1,1,1,0,0,0,1,0
0,1,0,4,1,0,1,0,0,1,1,1,100.2,420.2,1,1,1,0,0,0,1,0
0,0,0,2,1,0,0,0,0,0,0,1,75.55,166.3,1,0,1,0,0,0,1,0
0,0,0,3,0,0,1,0,0,0,0,0,74.45,221.1,0,1,1,0,0,1,0,0
1,1,0,43,1,1,0,1,1,1,1,1,109.55,4830.25,1,0,1,1,0,0,0,1
0,1,0,66,1,1,1,1,1,1,1,0,91.7,6075.9,0,1,0,0,1,0,0,0
0,0,0,9,0,0,0,0,0,0,1,1,80.8,713.1,1,1,1,0,0,0,1,0
1,0,0,15,1,0,0,0,0,0,0,1,74.2,1133.9,1,1,1,0,0,1,0,0
1,0,0,1,0,0,0,0,0,0,0,1,71.65,71.65,1,1,1,0,0,0,1,0
0,1,0,32,1,0,0,0,1,0,0,1,79.25,2619.15,0,1,1,1,0,0,1,0
0,1,0,62,1,1,1,0,1,1,1,1,84.95,5150.55,0,0,0,0,1,0,1,0
0,1,1,69,0,1,1,0,1,1,1,0,80.65,5542.55,0,1,0,0,1,0,0,0
1,0,0,19,1,0,0,1,0,0,0,1,79.85,1471.75,1,1,1,0,0,0,1,0
0,1,1,57,1,0,0,0,0,0,0,1,74.3,4018.35,0,1,1,0,0,0,1,0
1,1,0,72,1,1,1,1,1,1,1,1,89.55,6448.85,0,0,0,0,1,1,0,0
0,0,0,3,0,0,0,0,1,0,1,0,60.65,196.9,0,1,0,0,0,0,0,1
0,0,0,28,0,0,1,0,1,1,0,1,91.25,2483.65,0,1,1,1,0,0,0,0
1,1,0,31,1,1,0,0,0,1,0,0,89.45,2807.65,0,1,1,0,0,0,1,0
0,1,0,1,0,0,0,0,0,0,0,0,70.0,70.0,1,1,1,0,0,0,1,0
0,0,0,1,0,0,0,0,0,0,0,1,45.55,45.55,0,1,0,0,0,0,0,1
0,1,1,68,1,1,1,1,1,1,1,1,114.7,7849.85,0,1,1,0,1,0,0,0
0,0,0,37,1,0,1,0,1,1,1,1,104.5,3778.0,0,1,1,1,0,1,0,0
0,0,0,10,0,0,0,1,0,1,1,1,94.9,1048.85,1,1,1,0,0,0,1,0
0,0,0,3,1,0,0,0,1,1,0,1,63.6,155.65,1,0,0,0,0,0,1,0
0,0,0,1,0,0,1,0,0,0,0,1,74.3,74.3,1,0,1,0,0,1,0,0
0,1,1,4,0,0,0,0,0,1,0,1,78.9,299.75,0,0,1,0,0,0,0,1
1,0,0,37,1,0,0,0,0,0,0,1,76.25,2841.55,1,0,1,0,0,0,1,0
1,0,0,24,1,0,1,0,0,0,0,0,54.8,1291.3,0,1,0,0,0,1,0,0
0,0,0,34,1,0,0,0,1,1,0,0,65.0,2157.5,0,0,0,0,0,0,0,1
0,1,0,60,0,0,1,1,0,1,0,0,90.95,5453.4,1,1,1,1,0,0,1,0
0,0,0,1,0,0,0,0,0,1,1,1,90.55,90.55,1,1,1,0,0,0,1,0
0,0,0,8,0,0,0,0,0,0,0,0,44.45,369.3,0,0,0,0,0,0,0,1
0,0,0,65,1,1,1,0,1,0,0,1,89.85,5844.65,0,0,1,1,0,0,1,0
0,1,0,22,0,0,0,1,0,1,1,1,94.7,1914.9,1,1,1,0,0,1,0,0
0,0,0,35,1,0,0,0,0,0,0,0,75.35,2636.05,1,1,1,0,0,1,0,0
0,0,1,54,0,1,1,0,1,1,1,1,105.85,5826.65,0,1,1,1,0,0,1,0
0,0,0,17,1,1,0,0,0,0,1,0,65.75,1111.2,0,1,0,0,0,0,0,0
1,1,0,5,0,0,0,0,0,0,0,0,70.05,302.6,0,0,1,0,0,0,1,0
0,0,0,11,1,0,0,1,0,0,0,0,53.75,608.0,1,1,0,0,0,0,1,0
0,1,1,72,1,1,0,1,1,1,1,1,83.3,6042.7,0,0,0,0,1,0,0,0
0,0,0,36,0,1,0,1,1,1,1,1,79.2,2854.95,0,1,0,0,0,1,0,0
0,0,0,1,0,0,0,0,0,0,1,0,79.6,79.6,1,1,1,0,0,0,1,0
0,1,0,67,1,0,1,1,0,0,0,0,87.4,5918.8,1,1,1,1,0,0,1,0
0,1,0,50,1,1,1,0,1,1,1,0,108.55,5610.7,1,0,1,1,0,0,1,0
0,0,1,67,1,0,1,0,1,1,1,1,106.6,7244.7,0,0,1,1,0,0,0,0
0,0,0,33,0,0,1,0,1,0,0,0,80.6,2651.1,0,1,1,0,1,0,0,0
0,1,0,61,0,1,1,0,1,0,1,0,93.7,5860.7,0,0,1,1,0,0,0,0
0,1,0,29,1,1,1,0,0,0,0,1,84.45,2467.1,1,1,1,0,0,0,1,0
0,0,0,23,1,0,1,0,0,0,0,1,79.15,1676.95,1,0,1,0,0,0,1,0
1,1,0,69,1,1,1,0,0,0,0,1,84.9,5785.65,0,1,1,0,0,1,0,0
0,0,0,11,0,0,0,0,0,0,0,0,70.2,760.05,0,1,1,0,0,0,1,0
1,1,0,1,1,0,0,0,0,0,0,1,74.4,74.4,1,1,1,0,0,0,1,0
0,0,1,64,0,0,1,0,1,1,1,1,99.15,6171.2,0,1,1,0,0,1,0,0
0,0,0,9,0,0,0,0,0,1,1,1,90.8,809.75,1,0,1,0,0,0,0,0
0,1,1,64,1,1,1,1,0,0,0,1,91.8,5960.5,0,1,1,0,0,0,1,0
0,1,0,71,1,1,1,1,1,1,1,1,115.15,8078.1,0,0,1,0,1,1,0,0
0,1,0,50,1,0,1,1,1,1,1,1,84.15,4164.4,0,0,0,1,0,1,0,0
0,1,1,69,1,0,0,0,1,1,1,1,99.35,6856.45,0,1,1,0,1,0,1,0
0,0,0,1,0,0,0,0,0,0,0,1,45.3,45.3,1,0,0,0,0,0,0,1
0,1,0,37,1,1,0,1,1,0,1,1,99.2,3754.6,1,0,1,1,0,0,1,0
0,0,0,3,0,0,0,0,0,1,0,1,54.7,169.45,1,1,0,0,0,1,0,0
0,0,0,32,1,0,1,0,0,0,0,1,54.2,1739.6,0,0,0,0,0,0,1,0
0,1,0,30,1,1,1,0,0,1,0,1,94.4,2838.7,1,1,1,0,0,0,1,0
0,1,0,43,0,0,0,0,0,1,0,1,56.35,2391.15,0,1,0,1,0,0,0,1
0,0,0,10,0,0,0,0,0,0,1,1,80.25,846.0,1,0,1,0,0,0,0,0
0,1,0,36,1,1,1,1,1,0,1,1,106.05,3834.4,0,0,1,0,1,1,0,0
0,0,0,22,0,1,0,0,1,0,1,1,89.05,1886.25,0,0,1,0,0,0,1,0
0,1,0,15,0,0,1,0,0,0,0,0,75.35,1114.55,0,0,1,0,0,0,0,0
0,1,0,42,1,0,0,0,0,1,1,1,94.2,4186.3,1,0,1,0,0,0,1,0
0,0,0,15,1,0,0,0,0,0,0,1,49.0,749.25,0,1,0,0,0,0,1,0
0,0,0,1,0,0,0,0,0,0,0,0,70.1,70.1,0,0,1,0,0,0,1,0
0,0,0,1,0,0,0,0,0,0,0,1,44.75,44.75,0,1,0,0,0,0,1,0
0,0,0,20,1,0,1,0,1,0,1,1,68.9,1370.35,0,0,0,0,0,1,0,0
0,1,0,49,1,0,0,0,0,1,1,1,95.6,4783.5,1,0,1,0,0,0,1,0
0,0,0,13,1,0,0,0,1,1,1,1,99.0,1301.7,1,1,1,0,0,0,0,1
1,0,0,65,1,0,1,1,0,1,0,1,95.45,6223.3,0,0,1,0,0,0,0,0
1,1,0,49,1,0,1,0,0,0,1,0,90.05,4547.25,1,1,1,0,0,1,0,0
1,1,0,27,1,1,0,0,1,1,1,1,104.3,2867.75,1,0,1,0,0,0,0,0
1,0,0,26,1,0,1,0,0,1,0,1,89.15,2277.65,1,0,1,0,0,0,1,0
0,0,0,1,0,0,0,0,0,1,0,0,78.05,78.05,1,0,1,0,0,0,1,0
1,1,0,62,0,1,0,1,1,1,1,1,79.95,4819.75,0,0,0,0,1,1,0,0
0,0,0,12,1,0,1,0,0,1,0,1,89.75,1052.4,1,0,1,0,0,0,0,0
0,1,0,26,0,0,1,1,0,1,1,1,73.5,1905.7,0,0,0,0,1,1,0,0
0,1,0,70,1,1,0,1,1,0,0,0,65.3,4759.75,1,0,0,0,1,1,0,0
0,1,0,4,1,0,1,0,0,1,1,1,97.95,384.5,1,0,1,0,0,0,1,0
0,0,0,51,1,1,1,0,0,1,0,1,94.8,4837.6,1,1,1,1,0,0,1,0
1,1,0,72,1,0,1,1,0,1,1,1,104.15,7689.95,1,1,1,0,1,0,0,0
0,1,0,54,0,1,1,0,0,1,1,1,74.55,4191.45,0,1,0,0,1,0,0,0
0,1,0,33,0,0,0,1,0,1,1,1,93.8,3124.5,1,0,1,1,0,0,1,0
0,0,0,18,1,0,0,0,0,0,0,1,75.6,1395.05,0,1,1,0,0,0,0,0
0,0,0,6,0,0,1,0,0,1,0,1,85.35,489.45,1,1,1,0,0,0,1,0
1,0,0,5,0,0,0,0,0,1,1,1,89.5,477.7,1,1,1,0,0,0,1,0
0,0,0,16,1,0,1,0,0,0,0,1,80.55,1248.9,0,1,1,0,0,0,0,1
0,0,0,12,0,1,0,1,0,0,0,0,81.7,858.6,1,1,1,0,0,0,0,0
0,0,0,51,1,1,1,1,1,1,0,1,81.15,4126.2,0,1,0,1,0,1,0,0
0,0,0,33,1,0,0,0,0,0,1,1,83.35,2757.85,1,0,1,0,0,0,1,0
0,1,0,23,0,0,1,1,1,0,0,0,83.8,1900.25,1,0,1,0,0,0,1,0
0,1,1,72,1,0,1,1,0,1,1,1,103.2,7362.9,0,0,1,1,0,1,0,0
0,0,0,1,1,0,0,1,1,0,0,0,62.05,62.05,1,1,0,0,0,0,0,1
0,0,0,13,0,0,1,1,0,0,0,1,79.8,973.45,1,1,1,0,0,0,1,0
1,0,0,57,1,1,0,0,1,0,1,0,93.75,5625.55,0,1,1,0,1,0,1,0
0,1,1,30,1,1,1,1,1,0,0,0,67.6,2000.2,0,1,0,0,0,0,1,0
0,1,0,60,1,0,1,1,0,1,0,1,95.75,5742.9,1,1,1,0,0,0,1,0
0,0,0,6,0,0,0,0,1,0,0,1,49.5,312.7,0,1,0,0,0,1,0,0
0,0,0,26,0,0,1,0,0,1,0,1,85.75,2146.5,0,1,1,0,0,0,1,0
0,0,0,1,1,0,1,0,0,0,0,1,80.2,80.2,1,0,1,0,0,0,0,1
1,1,0,22,1,1,1,0,1,0,0,1,63.55,1381.8,0,0,0,0,0,0,0,1
0,1,1,45,0,1,0,0,1,0,0,0,54.65,2553.7,0,1,0,0,1,0,0,0
0,1,0,72,1,0,1,1,1,1,1,0,85.95,6151.9,0,1,0,0,1,0,0,0
0,1,0,72,0,1,1,0,1,1,1,0,105.5,7611.55,0,1,1,0,1,0,0,0
0,0,0,31,1,0,1,0,1,1,1,1,79.45,2587.7,1,1,0,1,0,0,0,1
0,0,0,8,1,0,0,0,0,0,1,1,86.55,649.65,1,1,1,0,0,0,1,0
0,0,1,1,0,0,0,1,0,0,0,1,49.85,49.85,0,1,0,0,0,0,1,0
